市,city,cities,code,Area,socio-accessibility,gini,Diff.Accessibility,GDP,人口规模,Population Scale (million),Population Density (%),Economic Level (%),Urbanization Level (%)
通辽市,通辽,Tongliao,150500,Western,0.314100012,0.353986268,0.37716743,2381544,5.73431168,2.8531,3.950281718,8.952864142,0.2409
潮州市,潮州,Chaozhou,445100,Eastern,0.210651966,0.464570854,0.57743116,2364556,5.517452896,2.5746,6.685411408,9.160834952,0.4954
承德市,承德,Chengde,130800,Eastern,0.237930022,0.41811763,0.344294064,2349782,5.883489505,3.474037572,4.508549147,8.787983396,0.2036
本溪市,本溪,Benxi,210500,Northeastern,0.389190611,0.301113122,0.365327358,2346594,5.053567061,1.412,5.226606519,9.61480498,0.6599
衢州市,衢州,Quzhou,330800,Eastern,0.256421289,0.397691285,0.455857694,2337312,5.500564092,2.287,5.624197995,9.165343006,0.256
丹东市,丹东,Dandong,210600,Northeastern,0.217218562,0.424811663,0.44616587,2329453,5.48570938,2.291,5.078231635,9.175231195,0.7767
四平市,四平,Siping,220300,Northeastern,0.221405873,0.459735095,0.537040364,2313066,5.788950487,1.7698,5.446780474,8.849657407,0.1564
松原市,松原,Songyuan,220700,Northeastern,0.390927995,0.353037258,0.362847488,2271321,5.632751814,2.1948,4.886507171,9.006141237,0.2523
梅州市,梅州,Meizhou,441400,Eastern,0.30261016,0.361521665,0.314631185,2270363,6.195629132,3.8769,5.735926928,8.685584843,0.6571
三门峡市,三门峡,Sanmenxia,411200,Central,0.295986218,0.369219905,0.297859176,2245634,5.39771011,2.038,5.349295611,9.228278517,0.3177
漯河市,漯河,Luohe,411100,Central,0.223336775,0.413312534,0.627743567,2215676,5.557599964,2.372,6.898159385,9.090204571,0.234
丽水市,丽水,Lishui,331100,Eastern,0.292311442,0.329289079,0.239907212,2202878,5.519058033,2.514,4.971062519,9.086476385,0.6356
宿州市,宿州,Suzhou (Anhui),341300,Central,0.267518198,0.406505684,0.280808255,2199287,6.333457232,5.325,6.354995932,8.222822131,0.1133
云浮市,云浮,Yunfu,445300,Eastern,0.327572822,0.319090109,0.284097697,2147012,5.565592629,2.3933,5.816753953,9.016270068,0.3737
六安市,六安,Lu'an,341500,Central,0.302870295,0.3790887,0.293790164,2090680,6.506531165,4.405,5.920075951,8.047829357,0.1468
蚌埠市,蚌埠,Bengbu,340300,Central,0.341221146,0.31990966,0.488686342,2081442,5.843341498,3.317,6.362200175,8.743372131,0.2472
吉安市,吉安,Ji'an,360800,Central,0.343423998,0.324931239,0.246285636,2067244,6.136884367,4.425128,5.210305489,8.407378325,0.2131
晋中市,晋中,Jinzhong,140700,Central,0.210938131,0.423525582,0.314212069,2034428,5.719426139,3.389953,5.224509349,8.806723555,0.3583
宣城市,宣城,Xuancheng,341800,Central,0.353971482,0.333647481,0.23761731,2031763,5.616152725,2.487,5.407261454,8.929700114,0.1673
佳木斯市,佳木斯,Jiamusi,230800,Northeastern,0.253773198,0.390367943,0.392916153,2008599,5.500155562,2.279164,4.315218874,9.015055149,0.4713
晋城市,晋城,Jincheng,140500,Central,0.331454522,0.306905335,0.389889624,1985067,5.355784066,2.188632,5.408113032,9.113719333,0.3932
马鞍山市,马鞍山,Ma'anshan,340500,Central,0.350638467,0.351056019,0.473639677,1925237,4.821007109,2.157,6.601230119,9.657459129,0.4548
通化市,通化,Tonghua,220500,Northeastern,0.352048655,0.347368067,0.252560721,1923723,5.421507977,1.2687,5.003140612,9.043577154,0.283
汕尾市,汕尾,Shanwei,441500,Eastern,0.368714016,0.316895224,0.309338231,1869331,5.724891438,2.6869,6.365249772,8.903815212,0.5086
亳州市,亳州,Bozhou,341600,Central,0.273545949,0.373297767,0.303017015,1832512,6.290142196,4.96,6.467590025,8.171316875,0.225
铁岭市,铁岭,Tieling,211200,Northeastern,0.493305021,0.293559845,0.230328089,1765242,5.701914064,2.827,5.442028024,8.682029434,0.3087
舟山市,舟山,Zhoushan,330900,Eastern,0.33056646,0.336747407,0.385765941,1722656,4.575947327,1.165,6.513882717,9.780132774,0.6002
淮南市,淮南,Huainan,340400,Central,0.446501817,0.289981786,0.383538146,1705041,5.355831273,3.04,6.906524522,8.997270906,0.472
抚州市,抚州,Fuzhou (Jiangxi),361000,Central,0.313461615,0.385992158,0.303230123,1684110,5.929881654,3.579374,5.296966454,8.410943392,0.2425
乌兰察布市,乌兰察布,Ulanqab,150900,Western,0.310301189,0.331984074,0.237998843,1553002,5.600641716,1.6595,3.90519978,8.655040258,0.2264
巴彦淖尔市,巴彦淖尔,Bayanzhuoer,150800,Western,0.317748283,0.38852877,0.244933902,1513733,5.171222359,1.528,3.308350831,9.064505024,0.3263
河池市,河池,Hechi,451200,Western,0.402289164,0.311132264,0.204501293,1432723,5.942799375,3.4191,4.733563401,8.234299636,0.2205
萍乡市,萍乡,Pingxiang,360300,Central,0.265842031,0.400330477,0.544388579,1428645,5.180321808,1.805907,6.140832379,8.998260393,0.2953
景德镇市,景德镇,Jingdezhen,360200,Central,0.249502215,0.425795675,0.60430478,1406910,4.999237249,1.620565,5.642438844,9.138199694,0.3829
河源市,河源,Heyuan,441600,Eastern,0.246575059,0.396865813,0.397979217,1368518,5.811530139,2.8409,5.352474057,8.321421587,0.5501
吕梁市,吕梁,Lüliang,141100,Central,0.298024352,0.370245795,0.246501438,1349617,5.857132834,3.374678,5.110661608,8.269244521,0.2531
淮北市,淮北,Huaibei,340600,Central,0.382334054,0.308284769,0.527848671,1324689,5.317825833,1.974,6.612094797,8.785845338,0.3868
阳泉市,阳泉,Yangquan,140300,Central,0.211727086,0.455230355,0.678058062,1259180,4.833738994,1.310977,5.616807461,9.18860588,0.4898
鹤壁市,鹤壁,Hebi,410600,Central,0.35182199,0.302917755,0.47510692,1222482,4.985727658,1.572,6.508068444,9.058004711,0.41
